Nanoseconds
1140793
260777
371740
238703
171925
205073
178444
182852
408443
251703
178054
745831
250962
169851
203796
169889
255147
209222
195128
211573
364073
348221
213221
269814
193426
213666
285481
2155326
208592
202684
276258
426017
308258
253276
245481
197888
237721
236796
222851
224870
2597491
635590
307962
195832
230759
183796
221944
196462
224332
185555
217017
167203
212777
167370
203814
163666
206351
164092
203740
163518
214481
164740
199351
162388
290777
1761105
203851
203444
162629
193055
161852
195370
183425
203166
665683
189537
223037
197258
296221
226499
199148
197462
278462
161037
209055
731979
326499
273499
306832
199370
224074
223999
224796
203333
211203
198092
3343544
300369
243944
261499
572313
260554
382054
199536
230444
244888
267925
321425
350091
365499
320369
269721
431554
305295
246776
456832
190462
262629
245814
547035
238240
225555
215851
213815
226463
213925
3069360
248091
199888
194278
171647
177981
178426
183444
180962
169129
1732771
186518
190888
199555
188740
284221
177814
170611
301406
2036216
395739
262537
218629
218074
189592
191888
186758
179832
181036
181092
179943
3485470
263017
328240
202036
181703
178592
170926
165518
791534
325184
195222
213759
239629
173092
329814
222222
201518
204740
433684
1901993
219925
186703
180610
171185
164388
167518
180204
184425
648350
210148
220388
330369
208055
182499
178333
168722
190944
254092
193388
641943
256499
208962
229573
219147
212684
188926
205166
193703
185555
181833
188222
340721
1828253
237555
212184
197943
185537
183740
177518
169999
166592
169721
524924
181444
1328533
215129
187592
179258
177629
695960
213352
349388
222462
195814
188888
184073
171092
167388
166073
167721
163333
181407
184444
177499
433518
176278
809293
193500
180721
232444
179240
162499
159277
165758
158815
180980
466962
165370
177351
166870
833386
181110
163351
160055
160184
265499
676794
187277
277870
293833
249703
183277
178370
179296
162647
159815
163222
158703
159907
158667
166352
167963
159221
156981
158426
157648
157277
158259
157815
544313
188462
285351
174462
174666
175370
179685
177129
169796
170296
170240
170592
169314
171148
169258
171833
169518
171055
168981
2944471
233499
483776
192721
207629
199388
195055
196611
189462
181166
184443
455313
202018
191406
184314
180259
174815
180592
201740
189943
180295
179870
190203
193758
143555
180203
597665
3349303
269981
197222
2413955
211963
169370
165277
168574
164147
164703
163629
164018
163981
162425
165370
162518
176407
176833
177092
176332
176221
179389
163962
176370
178166
165185
162666
262907
182518
176703
167481
164407
162351
229184
183055
169870
162740
162778
161944
162796
164999
163185
161758
177574
181425
3235026
203944
177666
165389
163574
162925
164241
163518
164018
179870
167722
165074
168611
192647
186518
177740
180925
166444
163425
162499
163221
162869
168370
166462
164425
163518
163167
164036
166370
163796
162703
162870
165593
168240
170296
162611
162610
177722
167499
162703
162499
162203
163814
176796
2879898
222055
188296
280259
212684
202295
244648
192573
223092
183018
184796
179610
182277
180740
166259
163684
165425
164611
167426
164073
164333
162092
162517
164703
162666
162925
163759
165000
164444
162258
163278
162833
657645
193092
217017
194555
181981
181203
164888
164870
